Unnamed: 0,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,Result,reasoning_short,Extracted_Symptom,Harmonized_Symptom
1,2,"['A04', 'A08', 'F50']",Phentermine,0.018618583,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Phentermine is commonly used for managing eating disorders; indirect clinical support (observational/accepted practice). Not specific to the full combo.,eating disorders,eating disorders
2,2,"['A04', 'A08', 'F50']",Citalopram,0.043118065,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,"Citalopram is commonly used for depression, which can be associated with eating disorders; indirect clinical support (observational/accepted practice). No specific match for bacterial infections or viral infections.",depression,depression
3,2,"['A04', 'A08', 'F50']",Venlafaxine,0.026088928,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Venlafaxine is used for eating disorders (guidelines); indirect support for managing symptoms like anxiety and depression in the context of infections and eating disorders.,eating disorders,eating disorders
4,2,"['A04', 'A08', 'F50']",Atomoxetine,0.015126528,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Atomoxetine is used for eating disorders (guidelines); indirect support for managing symptoms like agitation/psychosis in substance-related presentations.,eating disorders,eating disorders
5,2,"['A04', 'A08', 'F50']",Mirtazapine,0.000276563,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Mirtazapine is used for eating disorders (guidelines); indirect support for managing symptoms like nausea and agitation in intestinal infections (observational/accepted practice). Not specific to the full combo.,eating disorders,eating disorders
6,2,"['A04', 'A08', 'F50']",Loxapine,0.000712832,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,"Loxapine is used for agitation and psychosis, which can be relevant for eating disorders; indirect clinical support (observational/accepted practice). Not specific to the full combo.",agitation and psychosis,agitation
8,2,"['A04', 'A08', 'F50']",Imipramine,0.018924483,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Used for eating disorders (guidelines); indirect support for managing symptoms like agitation/psychosis in substance-related presentations; not specific to the full combo.,agitation/psychosis in substance-related presentations,agitation in substance-related disorders
9,2,"['A04', 'A08', 'F50']",Duloxetine,0.008927828,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Reasonable use for managing eating disorder symptoms like anxiety and depression; indirect support from observational studies and accepted practice.,eating disorder symptoms like anxiety and depression,eating disorders
11,2,"['A04', 'A08', 'F50']",Mazindol,4.8059413617012e-05,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Mazindol is used for eating disorders (guidelines); indirect support for managing related symptoms (observational/accepted practice). Not specific to the full combo.,eating disorders,eating disorders
13,2,"['A04', 'A08', 'F50']",Paroxetine,0.043118065,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Commonly used for eating disorders (guidelines); indirect clinical support (observational/accepted practice). Not specific to the full combo.,eating disorders,eating disorders
15,2,"['A04', 'A08', 'F50']",Trimipramine,0.00023824,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,"Trimipramine is used for agitation and psychosis, which can be relevant for eating disorders; indirect clinical support (observational/accepted practice). Not specific to the full combo.",agitation and psychosis,agitation
16,2,"['A04', 'A08', 'F50']",Phenmetrazine,0.001582125,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Used for eating disorders (guidelines); indirect support for managing related symptoms (observational/accepted practice). Not specific to the full combo.,related symptoms (observational/accepted practice),symptoms
24,2,"['A04', 'A08', 'F50']",Bupropion,0.034162713,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Bupropion is commonly used for eating disorders (guidelines); indirect support for managing symptoms like agitation/psychosis in substance-related presentations.,eating disorders,eating disorders
27,2,"['A04', 'A08', 'F50']",Ketamine,0.003831298,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Ketamine is used for agitation and psychosis in eating disorder presentations; indirect clinical support (observational/accepted practice). Not specific to the full combo.,agitation and psychosis in eating disorder presentations,agitation and psychosis in eating disorder presentations
31,2,"['A04', 'A08', 'F50']",Dextroamphetamine,0.000286486,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Used for eating disorders (guidelines); indirect support for managing symptoms like agitation/psychosis in substance-related presentations; not specific to the full combo.,agitation/psychosis in substance-related presentations,agitation in substance-related disorders
